Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,1,0,0,8.46,,,
2016,11,1,1,0,8.3,,,
2016,11,1,2,0,7.95,,,
2016,11,1,3,0,6.67,,,
2016,11,1,4,0,6.64,,,
2016,11,1,5,0,6.84,,,
2016,11,1,6,0,6.83,,,
2016,11,1,7,0,6.51,,,
2016,11,1,8,0,6.33,,,
2016,11,1,9,0,7.85,,,
2016,11,1,10,0,10.73,,,
2016,11,1,11,0,12.96,,,
2016,11,1,12,0,14.99,,,
2016,11,1,13,0,15.79,,,
2016,11,1,14,0,16.72,,,
2016,11,1,15,0,17.19,,,
2016,11,1,16,0,17.29,,,
2016,11,1,17,0,17.34,,,
2016,11,1,18,0,15.97,,,
2016,11,1,19,0,13.59,,,
2016,11,1,20,0,11.96,,,
2016,11,1,21,0,10.76,,,
2016,11,1,22,0,10.82,,,
2016,11,1,23,0,12.02,,,
2016,11,2,0,0,11.73,,,
2016,11,2,1,0,11.13,,,
2016,11,2,2,0,10.71,,,
2016,11,2,3,0,10.46,,,
2016,11,2,4,0,9.94,,,
2016,11,2,5,0,10.08,,,
2016,11,2,6,0,9.68,,,
2016,11,2,7,0,9.26,,,
2016,11,2,8,0,9.42,,,
2016,11,2,9,0,10.21,,,
2016,11,2,10,0,11.71,,,
2016,11,2,11,0,12.64,,,
2016,11,2,12,0,11.76,,,
2016,11,2,13,0,12.4,,,
2016,11,2,14,0,11.98,,,
2016,11,2,15,0,9.64,,,
2016,11,2,16,0,9.18,,,
2016,11,2,17,0,8.99,,,
2016,11,2,18,0,8.85,,,
2016,11,2,19,0,8.74,,,
2016,11,2,20,0,8.62,,,
2016,11,2,21,0,8.12,,,
2016,11,2,22,0,7.31,,,
2016,11,2,23,0,6.74,,,
2016,11,3,0,0,6.32,,,
2016,11,3,1,0,4.6,,,
2016,11,3,2,0,3.88,,,
2016,11,3,3,0,3.34,,,
2016,11,3,4,0,2.92,,,
2016,11,3,5,0,2.51,,,
2016,11,3,6,0,2.58,,,
2016,11,3,7,0,2.45,,,
2016,11,3,8,0,2.74,,,
2016,11,3,9,0,3.71,,,
2016,11,3,10,0,4.92,,,
2016,11,3,11,0,6.87,,,
2016,11,3,12,0,8.15,,,
2016,11,3,13,0,10.36,,,
2016,11,3,14,0,10.79,,,
2016,11,3,15,0,10.83,,,
2016,11,3,16,0,10.36,,,
2016,11,3,17,0,9.38,,,
2016,11,3,18,0,8.3,,,
2016,11,3,19,0,7.46,,,
2016,11,3,20,0,6.86,,,
2016,11,3,21,0,6.4,,,
2016,11,3,22,0,5.63,,,
2016,11,3,23,0,4.97,,,
2016,11,4,0,0,4.57,,,
2016,11,4,1,0,4.18,,,
2016,11,4,2,0,3.75,,,
2016,11,4,3,0,2.92,,,
2016,11,4,4,0,1.95,,,
2016,11,4,5,0,1.7,,,
2016,11,4,6,0,1.51,,,
2016,11,4,7,0,1.47,,,
2016,11,4,8,0,2.2,,,
2016,11,4,9,0,4.47,,,
2016,11,4,10,0,7.72,,,
2016,11,4,11,0,10.68,,,
2016,11,4,12,0,12.45,,,
2016,11,4,13,0,12.81,,,
2016,11,4,14,0,13.8,,,
2016,11,4,15,0,14.32,,,
2016,11,4,16,0,14.28,,,
2016,11,4,17,0,13.71,,,
2016,11,4,18,0,12.57,,,
2016,11,4,19,0,11.7,,,
2016,11,4,20,0,12.7,,,
2016,11,4,21,0,13.67,,,
2016,11,4,22,0,14.18,,,
2016,11,4,23,0,13.67,,,
2016,11,5,0,0,13.09,,,
2016,11,5,1,0,12.86,,,
2016,11,5,2,0,12.42,,,
2016,11,5,3,0,11.51,,,
2016,11,5,4,0,11.65,,,
2016,11,5,5,0,12.46,,,
2016,11,5,6,0,12.02,,,
2016,11,5,7,0,12.36,,,
2016,11,5,8,0,12.29,,,
2016,11,5,9,0,12.43,,,
2016,11,5,10,0,13.89,,,
2016,11,5,11,0,11.48,,,
2016,11,5,12,0,12.1,,,
2016,11,5,13,0,15.56,,,
2016,11,5,14,0,14.83,,,
2016,11,5,15,0,14.37,,,
2016,11,5,16,0,11.6,,,
2016,11,5,17,0,8.89,,,
2016,11,5,18,0,9.58,,,
2016,11,5,19,0,10.09,,,
2016,11,5,20,0,9.66,,,
2016,11,5,21,0,9.71,,,
2016,11,5,22,0,9.2,,,
2016,11,5,23,0,8.48,,,
2016,11,6,0,0,8.14,,,
2016,11,6,1,0,7.55,,,
2016,11,6,2,0,7,,,
2016,11,6,3,0,6.57,,,
2016,11,6,4,0,6.48,,,
2016,11,6,5,0,6.3,,,
2016,11,6,6,0,5.65,,,
2016,11,6,7,0,5.44,,,
2016,11,6,8,0,5.45,,,
2016,11,6,9,0,6.11,,,
2016,11,6,10,0,6.63,,,
2016,11,6,11,0,7.25,,,
2016,11,6,12,0,6.98,,,
2016,11,6,13,0,7.18,,,
2016,11,6,14,0,7.6,,,
2016,11,6,15,0,7.71,,,
2016,11,6,16,0,7.38,,,
2016,11,6,17,0,6.86,,,
2016,11,6,18,0,5.78,,,
2016,11,6,19,0,5.85,,,
2016,11,6,20,0,4.88,,,
2016,11,6,21,0,4.11,,,
2016,11,6,22,0,3.77,,,
2016,11,6,23,0,3.46,,,
2016,11,7,0,0,2.9,,,
2016,11,7,1,0,2.35,,,
2016,11,7,2,0,2.36,,,
2016,11,7,3,0,1.99,,,
2016,11,7,4,0,1.84,,,
2016,11,7,5,0,2.93,,,
2016,11,7,6,0,3.31,,,
2016,11,7,7,0,3.23,,,
2016,11,7,8,0,3.42,,,
2016,11,7,9,0,4.59,,,
2016,11,7,10,0,4.71,,,
2016,11,7,11,0,5.38,,,
2016,11,7,12,0,5.62,,,
2016,11,7,13,0,5.5,,,
2016,11,7,14,0,5.62,,,
2016,11,7,15,0,5.83,,,
2016,11,7,16,0,5.98,,,
2016,11,7,17,0,5.63,,,
2016,11,7,18,0,4.72,,,
2016,11,7,19,0,1.91,,,
2016,11,7,20,0,1.65,,,
2016,11,7,21,0,1.63,,,
2016,11,7,22,0,0.94,,,
2016,11,7,23,0,0.61,,,
2016,11,8,0,0,0.93,,,
2016,11,8,1,0,0.71,,,
2016,11,8,2,0,0.47,,,
